filename,indicator_name,extension,embedded,gh_link
nautilus_trader/nautilus_trader/indicators/kvo.pxd,kvo,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/kvo.pxd
nautilus_trader/nautilus_trader/indicators/fuzzy_candlesticks.pyx,fuzzy_candlesticks,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_candlesticks.pyx
nautilus_trader/nautilus_trader/indicators/fuzzy_candlesticks.pyx,fuzzy_candlesticks,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/fuzzy_candlesticks.pyx
nautilus_trader/nautilus_trader/indicators/keltner_channel.pyx,keltner_channel,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/keltner_channel.pyx
nautilus_trader/nautilus_trader/indicators/roc.pyx,roc,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/roc.pyx
nautilus_trader/nautilus_trader/indicators/swings.pyx,swings,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/swings.pyx
nautilus_trader/nautilus_trader/indicators/cci.pyx,cci,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/cci.pyx
nautilus_trader/nautilus_trader/indicators/vwap.pxd,vwap,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/vwap.pxd
nautilus_trader/nautilus_trader/indicators/cmo.pxd,cmo,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/cmo.pxd
nautilus_trader/nautilus_trader/indicators/dm.pxd,dm,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/dm.pxd
nautilus_trader/nautilus_trader/indicators/obv.pyx,obv,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/obv.pyx
nautilus_trader/nautilus_trader/indicators/bias.pxd,bias,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/bias.pxd
nautilus_trader/nautilus_trader/indicators/linear_regression.pxd,linear_regression,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/linear_regression.pxd
nautilus_trader/nautilus_trader/indicators/donchian_channel.pyx,donchian_channel,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/donchian_channel.pyx
nautilus_trader/nautilus_trader/indicators/rsi.pyx,rsi,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/rsi.pyx
nautilus_trader/nautilus_trader/indicators/vhf.pyx,vhf,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/vhf.pyx
nautilus_trader/nautilus_trader/indicators/volatility_ratio.pxd,volatility_ratio,cython,true,https://github.com/nautechsystems/nautilus_trader/blob/develop/nautilus_trader/indicators/volatility_ratio.pxd
